Target,Source
dealership_id,Dealer ID
vin,VIN
mileage,Miles
is_new,Type
stock_number,Stock
dealer_year,Year
dealer_make,Make
dealer_model,Model
dealer_trim,Trim
dealer_model_number,ModelNumber
dealer_msrp,MSRP
dealer_invoice,Invoice
dealer_body,Body
dealer_inventory_entry_date,DateInStock
dealer_exterior_color_description,ExteriorColor
dealer_interior_color_description,InteriorColor
dealer_exterior_color_code,ExteriorColorCode
dealer_interior_color_code,InteriorColorCode
dealer_transmission_name,Transmission
dealer_transmission_type,N/A
dealer_installed_option_codes,OptionCode
dealer_installed_option_descriptions,OptionDescription
dealer_additional_specs,AdditionalSpecs
dealer_doors,N/A
dealer_drive_type,Drivetrain
dealer_images,ImageList
dealer_certified,Certified
